scenario,dataset,recov_r_alpha_pos,est_gamma_alpha_pos,se_gamma_alpha_pos,ci_excludes0_alpha_pos,true_gamma_alpha_pos,ci_covers_true_alpha_pos,recov_r_alpha_neg,est_gamma_alpha_neg,se_gamma_alpha_neg,ci_excludes0_alpha_neg,true_gamma_alpha_neg,ci_covers_true_alpha_neg,recov_r_beta,est_gamma_beta,se_gamma_beta,ci_excludes0_beta,true_gamma_beta,ci_covers_true_beta,largest_gamma_param,target_is_largest
alpha_pos,44,0.7954165162218452,0.09076715074981377,0.05002827171518043,0,0.1,1,0.8150253833793938,-0.04478500467182756,0.05905903593617967,0,0.0,1,0.9369352115486388,-0.008915335959652212,0.0518701370710812,0,0.0,1,alpha_pos,1.0
alpha_pos,45,0.7012331710342168,0.21310661389924326,0.05529850575423928,1,0.1,0,0.7976986763095497,0.045857349198918776,0.055544593021961845,0,0.0,1,0.9276967257384239,0.012035603495515124,0.0523068297890853,0,0.0,1,alpha_pos,1.0
alpha_pos,46,0.7152556239074723,0.05128056096562102,0.04762189147218866,0,0.1,1,0.8317725389065223,-0.05404230588073161,0.06400505568789087,0,0.0,1,0.918917045017636,0.0003283433833322785,0.05200869957360721,0,0.0,1,alpha_neg,0.0
alpha_pos,47,0.8201413732287598,0.23002378266095067,0.06018697129904267,1,0.1,0,0.6925460239920129,0.017303655977085927,0.04845451589030142,0,0.0,1,0.9499843552405504,0.06616318708315612,0.050838658622936926,0,0.0,1,alpha_pos,1.0
alpha_pos,48,0.7844219471664197,0.1733504495871655,0.06306856291585529,1,0.1,1,0.8556315323339229,-0.05820146978530693,0.05539744698847398,0,0.0,1,0.9375315991210624,0.02743120937190369,0.04772749137383333,0,0.0,1,alpha_pos,1.0
alpha_pos,49,0.8113474045255993,0.21010885753908576,0.058828202711402676,1,0.1,1,0.837383390542674,-0.15840414007268896,0.06407375568079088,1,0.0,0,0.9406645023699692,0.02594128730963457,0.05512012147280485,0,0.0,1,alpha_pos,1.0
alpha_pos,50,0.7877874532258228,0.0013623056829714097,0.06990574648220656,0,0.1,1,0.7796724013574532,0.0662192749760285,0.0599321981976821,0,0.0,1,0.9585828339562161,-0.0011655315971844222,0.05395807965966725,0,0.0,1,alpha_neg,0.0
alpha_pos,51,0.8317514073216163,0.05303419092056662,0.08011447718548222,0,0.1,1,0.8531419270525369,0.04201081447921762,0.07360693318975443,0,0.0,1,0.9566578091176188,-0.02970280476654759,0.04997157988442572,0,0.0,1,alpha_pos,1.0
alpha_pos,52,0.823321738895829,0.1517456203492637,0.06204082868304615,1,0.1,1,0.7186992358336028,0.010240890234607145,0.05562954695536519,0,0.0,1,0.9385747145025386,0.026898272959693093,0.04693917917137079,0,0.0,1,alpha_pos,1.0
alpha_pos,53,0.8404359952536399,0.07506142541833663,0.07181228354424257,0,0.1,1,0.7968935972024036,-0.16193322343095146,0.05927572179827875,1,0.0,0,0.9555731822393929,-0.073391870754798,0.0603866922820558,0,0.0,1,alpha_neg,0.0
alpha_pos,54,0.6980228421692419,0.15988053685574685,0.05479882530517033,1,0.1,1,0.8509214437438126,-0.0686162792271295,0.05739731691187247,0,0.0,1,0.9473910725250901,0.05928705459024003,0.05630146616133156,0,0.0,1,alpha_pos,1.0
alpha_pos,55,0.8444657998306696,0.15560457790862497,0.06166419939667062,1,0.1,1,0.8607802093567519,-0.011271192249975838,0.06337267736588294,0,0.0,1,0.9414948850870739,0.098582414404307,0.04574079213117798,1,0.0,0,alpha_pos,1.0
alpha_pos,56,0.7051389752814546,0.12672122599965813,0.05419441962385341,1,0.1,1,0.7862682753737639,0.10561817971240597,0.07388640998469723,0,0.0,1,0.913284198216714,-0.03543823680688583,0.05395216363655078,0,0.0,1,alpha_pos,1.0
alpha_pos,57,0.7268863346929914,0.032364491640891696,0.06781214163302322,0,0.1,1,0.7780789689781343,-0.07725040949863426,0.06276316766460001,0,0.0,1,0.9307107549832947,0.07621750350330794,0.05126265832425245,0,0.0,1,alpha_neg,0.0
alpha_pos,58,0.7592738006036168,0.15748509973866504,0.06307775185171029,1,0.1,1,0.777418282087875,-0.03908497170954107,0.06813447567522123,0,0.0,1,0.9406873008725499,0.015929266260429287,0.04796654825392995,0,0.0,1,alpha_pos,1.0
alpha_pos,59,0.7808635965797402,-0.044987908013760146,0.07565677818865783,0,0.1,1,0.7995880604226079,-0.04580080434507091,0.06040478031568937,0,0.0,1,0.8757640478455879,-0.013198601476749642,0.039341015155583345,0,0.0,1,alpha_neg,0.0
alpha_pos,60,0.8324328714315582,0.010289831936755816,0.061233595302742284,0,0.1,1,0.7887951227880585,-0.14056163397765195,0.050929358966275366,1,0.0,0,0.907062395590216,0.03795076630000276,0.054448618804221915,0,0.0,1,alpha_neg,0.0
alpha_pos,61,0.7851484261027296,0.2679938092403814,0.06261605818041609,1,0.1,0,0.76666208086429,-0.023107029163586906,0.06176689831294869,0,0.0,1,0.942840534132409,-0.1259787281341249,0.047627681071696154,1,0.0,0,alpha_pos,1.0
alpha_pos,62,0.7295072465084896,0.03837801120145968,0.06361171277685211,0,0.1,1,0.7118045141216308,0.05919591239137011,0.06045014772474926,0,0.0,1,0.8977486400938507,0.05327402214182063,0.05597673817838497,0,0.0,1,alpha_neg,0.0
alpha_pos,63,0.8396331044729088,0.09674455200263342,0.07608098784009865,0,0.1,1,0.8039757479869802,-0.013871304436311845,0.0660165125126699,0,0.0,1,0.9212428629436057,0.03997971771339973,0.04761420771645142,0,0.0,1,alpha_pos,1.0
alpha_pos,64,0.7996398228931263,-0.029285709871553753,0.07440753587803071,0,0.1,1,0.7941861834734647,0.04810407823281432,0.05971979008897584,0,0.0,1,0.9473136255876244,-0.06462299496334671,0.05579550974265431,0,0.0,1,beta,0.0
alpha_pos,65,0.8202516162059196,0.13214562215116885,0.0644870793579298,1,0.1,1,0.8451935208491813,0.07609277726560307,0.07426341184495192,0,0.0,1,0.9431925101311064,-0.06179784544448956,0.05071986000751353,0,0.0,1,alpha_pos,1.0
alpha_pos,66,0.8180166737863539,0.014012066564540264,0.06714650027084341,0,0.1,1,0.821675259862578,-0.023314740016441054,0.06257798857374673,0,0.0,1,0.9360106605560434,0.01679124699067213,0.05445489885188397,0,0.0,1,alpha_neg,0.0
alpha_pos,67,0.862181230130603,0.0325415859251163,0.0790137161808978,0,0.1,1,0.8222431046568653,-0.0012192843182630424,0.07043774569079625,0,0.0,1,0.9608702213257543,-0.027688072088938604,0.055334776617815086,0,0.0,1,alpha_pos,1.0
alpha_pos,68,0.7471542312557876,0.20269751856749121,0.054800952443038405,1,0.1,1,0.822585833561615,-0.006990164632898201,0.058428222057683415,0,0.0,1,0.9454388084419625,0.01785327825097657,0.053374682347550086,0,0.0,1,alpha_pos,1.0
alpha_pos,69,0.7651612958453302,-0.03928543140971829,0.05853146395845679,0,0.1,0,0.8160243147920802,0.056138710979206634,0.06789742937390418,0,0.0,1,0.9242151507087925,-0.03145757176881204,0.04815952586423506,0,0.0,1,alpha_neg,0.0
alpha_pos,70,0.7976590101855935,0.0929411057179257,0.06044890796980833,0,0.1,1,0.8185922011722911,0.010464493750539186,0.07938123940950975,0,0.0,1,0.9384807109329203,0.05934448405244387,0.05166924423598587,0,0.0,1,alpha_pos,1.0
alpha_pos,71,0.7974005763002847,0.04816499624082818,0.061011057767094354,0,0.1,1,0.8113750701904588,0.09972751483783733,0.06416292240244971,0,0.0,1,0.9273921264680444,0.019308212507510535,0.04890497594388871,0,0.0,1,alpha_neg,0.0
alpha_pos,72,0.7623114254830868,0.1690213444162701,0.06377129638109211,1,0.1,1,0.7837628179027152,-0.048611020371883175,0.05851619239569321,0,0.0,1,0.9439218359671439,0.02677543670202843,0.052548881467453915,0,0.0,1,alpha_pos,1.0
alpha_pos,73,0.7307956106129163,0.07547276211196818,0.05686659612223094,0,0.1,1,0.8336567607767202,0.12899244146738867,0.056427704211341516,1,0.0,0,0.918743226692897,0.0019814121749588158,0.049933634759683564,0,0.0,1,alpha_neg,0.0
alpha_pos,74,0.7563376047724695,0.11810587287046895,0.03832619784075615,1,0.1,1,0.7706786084332218,0.03912373948508311,0.05848627393316306,0,0.0,1,0.9144300017735899,0.07590076608059661,0.04010657548600597,0,0.0,1,alpha_pos,1.0
