source_file,output_index,output_file,original_width_px,original_height_px,crop_left_px,crop_top_px,crop_right_px,crop_bottom_px,output_width_px,output_height_px,dpi,output_format,pre_match_mean_luminance_0_255,pre_match_median_luminance_0_255,matching_metric_used,pre_match_luminance_used_for_matching_0_255,target_luminance_0_255,full_brightness_multiplier_not_used,unclamped_partial_multiplier,brightness_multiplier_applied,brightness_multiplier_was_clamped,correction_strength,min_brightness_multiplier,max_brightness_multiplier,contrast_multiplier,post_match_mean_luminance_0_255,post_match_median_luminance_0_255,target_Lstar_approx
AdobeStock_143814801.jpeg,24,bandit_024.jpg,6720,4218,196,0,6523,4218,3000,2000,300,JPEG,68.074,45.654,median,45.654,97.132,2.12755,1.67653,1.2,True,0.6,0.85,1.2,1.0,80.528,54.372,68.088
AdobeStock_143815001.jpeg,25,bandit_025.jpg,6720,4480,0,0,6720,4480,3000,2000,300,JPEG,96.228,95.15,median,95.15,97.132,1.020831,1.012499,1.012499,False,0.6,0.85,1.2,1.0,96.985,96.089,68.088
AdobeStock_143815845.jpeg,26,bandit_026.jpg,6720,4480,0,0,6720,4480,3000,2000,300,JPEG,70.019,56.152,median,56.152,97.132,1.729811,1.437887,1.2,True,0.6,0.85,1.2,1.0,82.227,66.944,68.088
AdobeStock_1472896341.jpeg,27,bandit_027.jpg,5954,3970,0,0,5954,3969,3000,2000,300,JPEG,91.464,72.772,median,72.772,97.132,1.334744,1.200846,1.2,True,0.6,0.85,1.2,1.0,108.219,86.826,68.088
AdobeStock_153664577.jpeg,28,bandit_028.jpg,5760,3840,0,0,5760,3840,3000,2000,300,JPEG,162.771,183.749,median,183.749,97.132,0.528614,0.717168,0.85,True,0.6,0.85,1.2,1.0,137.877,155.623,68.088
AdobeStock_158911633.jpeg,29,bandit_029.jpg,8688,5792,0,0,8688,5792,3000,2000,300,JPEG,111.286,110.934,median,110.934,97.132,0.875584,0.92535,0.92535,False,0.6,0.85,1.2,1.0,102.47,102.3,68.088
AdobeStock_167442756.jpeg,30,bandit_030.jpg,5184,3456,0,0,5184,3456,3000,2000,300,JPEG,155.751,161.38,median,161.38,97.132,0.601882,0.761129,0.85,True,0.6,0.85,1.2,1.0,131.913,136.747,68.088
AdobeStock_168309033.jpeg,31,bandit_031.jpg,6000,4000,0,0,6000,4000,3000,2000,300,JPEG,91.756,92.825,median,92.825,97.132,1.046395,1.027837,1.027837,False,0.6,0.85,1.2,1.0,93.919,95.133,68.088
AdobeStock_169292920.jpeg,32,bandit_032.jpg,5472,3648,0,0,5472,3648,3000,2000,300,JPEG,127.774,133.893,median,133.893,97.132,0.725442,0.835265,0.85,True,0.6,0.85,1.2,1.0,108.131,113.369,68.088
AdobeStock_176261134.jpeg,33,bandit_033.jpg,6144,4096,0,0,6144,4096,3000,2000,300,JPEG,85.18,71.364,median,71.364,97.132,1.361071,1.216642,1.2,True,0.6,0.85,1.2,1.0,101.205,85.236,68.088
AdobeStock_180574252.jpeg,34,bandit_034.jpg,6182,4125,0,2,6182,4123,3000,2000,300,JPEG,99.9,99.595,median,99.595,97.132,0.975268,0.985161,0.985161,False,0.6,0.85,1.2,1.0,97.84,97.457,68.088
AdobeStock_182156131.jpeg,35,bandit_035.jpg,6085,4057,0,0,6085,4057,3000,2000,300,JPEG,123.411,132.359,median,132.359,97.132,0.733852,0.840311,0.85,True,0.6,0.85,1.2,1.0,104.423,112.002,68.088
AdobeStock_185354653.jpeg,36,bandit_036.jpg,7000,4667,0,0,7000,4667,3000,2000,300,JPEG,82.774,43.512,median,43.512,97.132,2.232324,1.739394,1.2,True,0.6,0.85,1.2,1.0,97.446,51.791,68.088
AdobeStock_189224200.jpeg,37,bandit_037.jpg,8688,5792,0,0,8688,5792,3000,2000,300,JPEG,101.055,87.166,median,87.166,97.132,1.114334,1.0686,1.0686,False,0.6,0.85,1.2,1.0,107.144,92.445,68.088
AdobeStock_190270812.jpeg,38,bandit_038.jpg,5564,3709,0,0,5564,3709,3000,2000,300,JPEG,138.469,137.882,median,137.882,97.132,0.704457,0.822674,0.85,True,0.6,0.85,1.2,1.0,117.224,116.669,68.088
